contains_bug,ns,nd,nf,entropy,la,ld,lt,fix,ndev,age,nuc,exp,rexp,sexp,glm_probability,rf_probability
False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,1.0,3.0,3.0,1.584962500721156,3.0,3.0,320.0,True,4.0,1.9982638888888886,2.0,266.0,87.71666666666675,229.0,0.0,0.0
False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,1.0,2.0,2.0,0.7219280948873623,5.0,5.0,320.0,True,4.0,1.5081712962962963,2.0,265.0,86.71666666666675,228.0,0.0,0.0
False,1.0,1.0,1.0,0.0,1.0,0.0,241.0,True,2.0,0.03408564814814815,1.0,264.0,85.8000000000001,227.0,0.0,0.0
False,2.0,2.0,2.0,0.7131467486384921,13.0,33.0,97.5,True,3.0,12.305185185185184,2.0,263.0,85.33333333333343,122.0,0.0,0.0
False,1.0,1.0,1.0,0.0,1.0,0.0,257.0,False,3.0,4.734155092592593,1.0,262.0,84.5500000000001,225.0,0.0,0.0
False,1.0,2.0,2.0,0.9182958340544896,3.0,3.0,269.0,False,4.0,9.972447916666667,2.0,261.0,83.88333333333343,224.0,0.0,0.0
False,1.0,1.0,1.0,0.0,6.0,0.0,235.0,False,2.0,3.8735300925925924,1.0,260.0,82.88333333333343,223.0,0.0,0.0
False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,1.0,1.0,1.0,0.0,35.0,35.0,320.0,False,3.0,0.29866898148148147,1.0,259.0,82.18333333333342,222.0,0.0,0.0
False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,1.0,5.0,5.0,2.2359263506290326,0.0,7.0,321.4,False,4.0,0.16398379629629628,2.0,258.0,82.13333333333344,221.0,0.0,0.0
False,1.0,4.0,4.0,2.0,64.0,4.0,306.5,False,4.0,0.6852430555555555,2.0,157.0,56.683333333333294,96.0,0.0,0.0
False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,1.0,3.0,3.0,1.584962500721156,3.0,3.0,311.6666666666667,True,4.0,0.001712962962962963,1.0,257.0,83.85000000000014,220.0,0.0,0.0
False,1.0,5.0,5.0,2.180957332409844,11.0,10.0,309.2,True,4.0,0.2669699074074074,5.0,256.0,82.85000000000014,219.0,0.0,0.0
False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,1.0,1.0,1.0,0.0,32.0,0.0,252.0,True,4.0,1.1140856481481483,1.0,156.0,58.76666666666663,95.0,0.0,0.0
False,1.0,2.0,2.0,0.4689955935892812,16.0,4.0,254.0,True,4.0,3.9160821759259257,2.0,155.0,57.81666666666663,94.0,0.0,0.0
False,1.0,1.0,1.0,0.0,20.0,26.0,326.0,True,4.0,0.12193287037037037,1.0,154.0,57.066666666666634,93.0,0.0,0.0
False,1.0,1.0,1.0,0.0,30.0,30.0,306.0,True,3.0,0.0009722222222222222,1.0,153.0,56.066666666666634,92.0,0.0,0.0
False,1.0,1.0,1.0,0.0,12.0,13.0,307.0,True,3.0,0.11993055555555555,1.0,152.0,55.066666666666634,91.0,0.0,0.0
False,1.0,1.0,1.0,0.0,8.0,9.0,307.0,True,4.0,0.11913194444444444,1.0,151.0,54.066666666666634,90.0,0.0,0.0
False,1.0,1.0,1.0,0.0,13.0,13.0,307.0,True,4.0,0.10925925925925926,1.0,150.0,53.066666666666634,89.0,0.0,0.0
False,1.0,1.0,2.0,1.0,2.0,2.0,94.5,False,2.0,6.762152777777778,1.0,149.0,52.2333333333333,27.0,0.0,0.0
False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,1.0,5.0,5.0,2.204140102007486,46.0,46.0,310.8,False,4.0,5.544641203703703,4.0,255.0,89.16666666666683,218.0,0.0,0.0
False,1.0,1.0,2.0,0.9798687566511527,21.0,3.0,209.0,False,3.0,5.1258738425925925,2.0,254.0,88.71666666666682,217.0,0.0,0.0
False,1.0,1.0,1.0,0.0,1.0,1.0,326.0,False,4.0,0.029583333333333333,1.0,253.0,87.71666666666682,216.0,0.0,0.0
False,1.0,1.0,1.0,0.0,1.0,1.0,346.0,False,3.0,0.2289699074074074,1.0,252.0,86.85000000000016,215.0,0.0,0.0
False,1.0,1.0,1.0,0.0,7.0,4.0,168.0,False,2.0,15.244965277777778,1.0,251.0,85.85000000000016,214.0,0.0,0.0
False,1.0,1.0,1.0,0.0,1.0,1.0,326.0,False,4.0,0.012893518518518518,1.0,250.0,84.85000000000016,213.0,0.0,0.0
False,1.0,3.0,4.0,0.6124213366475562,54.0,53.0,228.75,False,3.0,8.356718749999999,3.0,249.0,83.85000000000016,212.0,0.0,0.0
False,1.0,1.0,1.0,0.0,1.0,1.0,326.0,False,4.0,0.21123842592592593,1.0,248.0,82.85000000000016,211.0,0.0,0.0
False,1.0,1.0,1.0,0.0,11.0,0.0,212.0,False,1.0,14.094652777777778,1.0,247.0,82.35000000000016,210.0,0.0,0.0
False,1.0,2.0,2.0,1.0,4.0,6.0,166.5,False,2.0,9.003900462962964,1.0,246.0,81.35000000000016,209.0,0.0,0.0
